species,factor_1,factor_2,factor_3,factor_4
Mg,8.843218287,20.52224009,65.53735144,5.097190184
Al,2.24883827,46.62184317,51.12931856,0
Si,2.84072927,91.45305987,0,5.706210863
S,22.00410939,8.422091474,0,69.57379914
K,71.20141985,6.906114719,1.802170156,20.09029528
Ca,19.01502348,39.17921596,30.72477469,11.08098587
Ti,7.698467478,65.0728514,12.93152724,14.29715389
Mn,18.41296464,54.22209525,6.843116565,20.52182354
Fe,4.571119509,72.01347669,12.03428426,11.38111954
Cl,90.23507241,9.764927594,0,0
Na,0,16.81406299,60.84940908,22.33652793
BC,49.10847342,0,24.27253,26.61899658
PM25,69.64239182,4.120215086,4.211481611,22.02591148
